IDStudent;IDClass;TextNumber;D3JOLF;D3JOLR;D3Restudy
25C6F;V3D;6;60;80;0
26I1F;V3D;1;60;60;0
26I1F;V3D;2;20;40;0
26I1F;V3D;3;40;60;0
26I1F;V3D;4;60;80;0
26I1F;V3D;5;20;20;1
26I1F;V3D;6;60;80;0
3T2O;V3D;1;80;80;0
3T2O;V3D;2;60;60;0
3T2O;V3D;3;40;80;0
3T2O;V3D;4;60;80;1
3T2O;V3D;5;60;60;0
3T2O;V3D;6;80;80;0
5I3O;V3D;1;80;80;0
5I3O;V3D;2;60;40;0
5I3O;V3D;3;60;80;0
5I3O;V3D;4;60;80;0
5I3O;V3D;5;60;60;0
5I3O;V3D;6;40;60;1
6T3F;V3D;1;60;60;0
6T3F;V3D;2;20;40;1
6T3F;V3D;3;40;40;0
6T3F;V3D;4;40;60;0
6T3F;V3D;5;60;80;0
6T3F;V3D;6;40;60;0
8I2F;V3D;1;40;60;1
8I2F;V3D;2;60;60;0
8I2F;V3D;3;40;60;0
8I2F;V3D;4;60;80;0
8I2F;V3D;5;60;60;0
8I2F;V3D;6;20;20;1
11I4F;3A;1;20;60;0
11I4F;3A;2;0;20;1
11I4F;3A;3;0;20;1
11I4F;3A;4;20;40;0
11I4F;3A;5;20;0;1
11I4F;3A;6;0;0;1
12I5F;3A;1;0;20;1
12I5F;3A;2;0;20;1
12I5F;3A;3;0;0;1
12I5F;3A;4;20;20;1
12I5F;3A;5;0;20;1
12I5F;3A;6;20;0;1
13I6F;3A;1;0;20;1
13I6F;3A;2;40;20;0
13I6F;3A;3;20;20;0
13I6F;3A;4;20;20;0
13I6F;3A;5;20;20;0
13I6F;3A;6;20;20;0
15I3F;3A;1;20;0;1
15I3F;3A;2;40;0;0
15I3F;3A;3;20;0;1
15I3F;3A;4;40;60;0
15I3F;3A;5;40;40;0
15I3F;3A;6;20;20;0
17T2F;3A;1;40;60;0
17T2F;3A;2;20;20;1
17T2F;3A;3;40;40;0
17T2F;3A;4;40;40;0
17T2F;3A;5;40;20;0
17T2F;3A;6;20;40;1
18T3F;3A;1;20;40;0
18T3F;3A;2;20;20;0
18T3F;3A;3;40;60;0
18T3F;3A;4;20;0;1
18T3F;3A;5;20;60;0
18T3F;3A;6;40;60;0
19T4F;3A;1;20;0;1
19T4F;3A;2;20;0;1
19T4F;3A;3;40;20;0
19T4F;3A;4;20;40;0
19T4F;3A;5;20;0;1
19T4F;3A;6;20;20;0
1C1F;3A;1;0;40;0
1C1F;3A;2;20;20;1
1C1F;3A;3;20;20;0
1C1F;3A;4;20;40;0
1C1F;3A;5;20;40;0
1C1F;3A;6;40;40;1
20T5F;3A;1;20;40;0
20T5F;3A;2;0;0;1
20T5F;3A;3;0;20;1
20T5F;3A;4;20;20;0
20T5F;3A;5;0;20;1
20T5F;3A;6;20;60;0
21T6F;3A;1;40;40;0
21T6F;3A;2;0;0;1
21T6F;3A;3;0;0;1
21T6F;3A;4;20;60;0
21T6F;3A;5;20;60;0
21T6F;3A;6;20;20;0
2C2F;3A;1;0;60;0
2C2F;3A;2;0;30;1
2C2F;3A;3;20;60;0
2C2F;3A;4;40;40;1
2C2F;3A;5;20;40;0
2C2F;3A;6;20;60;0
3C3F;3A;1;0;20;1
3C3F;3A;2;0;0;1
3C3F;3A;3;0;0;1
3C3F;3A;4;20;20;0
3C3F;3A;5;0;20;1
3C3F;3A;6;0;20;1
4C4F;3A;1;0;40;0
4C4F;3A;2;0;0;1
4C4F;3A;3;0;20;0
4C4F;3A;4;20;20;1
4C4F;3A;5;20;20;0
4C4F;3A;6;20;40;0
6C6F;3A;1;20;60;0
6C6F;3A;2;20;20;0
6C6F;3A;3;20;40;1
6C6F;3A;4;20;40;1
6C6F;3A;5;20;40;0
6C6F;3A;6;40;80;0
8I1F;3A;1;0;0;1
8I1F;3A;2;20;20;1
8I1F;3A;3;20;40;0
8I1F;3A;4;40;40;0
8I1F;3A;5;20;0;1
8I1F;3A;6;20;60;0
10I2F;H3C;1;60;80;0
10I2F;H3C;2;60;80;0
10I2F;H3C;3;60;60;0
10I2F;H3C;4;80;80;0
10I2F;H3C;5;60;60;0
10I2F;H3C;6;40;40;1
11I3F;H3C;1;80;80;0
11I3F;H3C;2;60;40;1
11I3F;H3C;3;60;80;0
11I3F;H3C;4;60;80;0
11I3F;H3C;5;60;60;1
11I3F;H3C;6;80;80;0
12I4F;H3C;1;80;80;1
12I4F;H3C;2;80;80;0
12I4F;H3C;3;80;80;1
12I4F;H3C;4;80;100;0
12I4F;H3C;5;80;80;0
12I4F;H3C;6;100;100;0
13I5F;H3C;1;60;80;0
13I5F;H3C;2;60;80;0
13I5F;H3C;3;60;80;0
13I5F;H3C;4;60;60;1
13I5F;H3C;5;60;100;0
13I5F;H3C;6;80;100;0
17T1F;H3C;1;40;80;0
17T1F;H3C;2;60;80;0
17T1F;H3C;3;60;100;0
17T1F;H3C;4;60;80;0
17T1F;H3C;5;40;60;0
17T1F;H3C;6;60;80;1
18T2F;H3C;1;60;80;0
18T2F;H3C;2;60;60;1
18T2F;H3C;3;60;80;0
18T2F;H3C;4;40;60;0
18T2F;H3C;5;60;60;1
18T2F;H3C;6;80;80;0
19T3F;H3C;1;80;60;0
19T3F;H3C;2;80;60;1
19T3F;H3C;3;80;100;0
19T3F;H3C;4;80;60;0
19T3F;H3C;5;80;80;0
19T3F;H3C;6;80;80;0
1C1F;H3C;1;60;80;0
1C1F;H3C;2;60;80;0
1C1F;H3C;3;60;100;0
1C1F;H3C;4;60;80;0
1C1F;H3C;5;40;80;0
1C1F;H3C;6;40;80;1
20T4F;H3C;1;60;80;1
20T4F;H3C;2;60;80;0
20T4F;H3C;3;80;100;0
20T4F;H3C;4;80;80;0
20T4F;H3C;5;60;60;1
20T4F;H3C;6;100;100;0
21T5F;H3C;1;100;100;0
21T5F;H3C;2;80;100;0
21T5F;H3C;3;60;80;0
21T5F;H3C;4;80;100;0
21T5F;H3C;5;80;100;0
21T5F;H3C;6;60;60;1
3C3F;H3C;1;80;80;0
3C3F;H3C;2;60;80;0
3C3F;H3C;3;60;60;0
3C3F;H3C;4;60;60;1
3C3F;H3C;5;60;60;1
3C3F;H3C;6;60;60;1
4C4F;H3C;1;60;60;0
4C4F;H3C;2;60;60;1
4C4F;H3C;3;40;60;1
4C4F;H3C;4;60;40;0
4C4F;H3C;5;60;40;1
4C4F;H3C;6;60;60;0
5C5F;H3C;1;80;80;0
5C5F;H3C;2;80;80;0
5C5F;H3C;3;60;80;1
5C5F;H3C;4;80;60;1
5C5F;H3C;5;80;60;0
5C5F;H3C;6;80;100;0
9I1F;H3C;1;60;60;1
9I1F;H3C;2;40;60;0
9I1F;H3C;3;60;60;0
9I1F;H3C;4;60;40;1
9I1F;H3C;5;40;60;0
9I1F;H3C;6;40;40;1
10C3F;3A1;1;60;80;0
10C3F;3A1;2;80;80;0
10C3F;3A1;3;60;60;0
10C3F;3A1;4;80;80;1
10C3F;3A1;5;80;100;0
10C3F;3A1;6;60;80;0
