,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
\outl0\strokewidth0 \strokec2 IDStudent,IDStudUnique,IDClass,TextName,NrRelSkipped\,NrRelCorrectOrder
11I6F,11I6FH3E,H3E,Suez,\,0
12I5F,12I5FA3,A3,Suez,\,0
14I3F,14I3F3A1,3A1,Suez,3\,1
14I3F,14I3FA3A,A3A,Suez,3\,1
14I4F,14I4F3G2,3G2,Suez,3\,1
14I4O,14I4OH3D,H3D,Suez,\,0
14I5F,14I5F3TT1,3TT1,Suez,3\,1
14I5F,14I5FH3B,H3B,Suez,4\,0
15I3F,15I3F3A3,3A3,Suez,4\,0
15I3F,15I3FA3,A3,Suez,\,0
16I1F,16I1F3G2,3G2,Suez,3\,1
17I1F,17I1F3GA1,3GA1,Suez,3\,1
17I1F,17I1F3VA,3VA,Suez,2\,2
17I2F,17I2F3TT1,3TT1,Suez,3\,1
17I2F,17I2FH3D,H3D,Suez,\,0
17I5F,17I5FH3E,H3E,Suez,\,1
17I6F,17I6F2VB,2VB,Suez,4\,0
17I6F,17I6FH3C,H3C,Suez,\,2
18I4F,18I4F3GA1,3GA1,Suez,3\,1
19I1F,19I1F3A3,3A3,Suez,4\,0
19I4F,19I4F3GA1,3GA1,Suez,4\,0
20I2F,20I2F3VA,3VA,Suez,3\,1
20I2F,20I2FV3D,V3D,Suez,\,3
20I3F,20I3F2VB,2VB,Suez,3\,1
20I3F,20I3FH3A,H3A,Suez,3\,1
20I4O,20I4O3A1,3A1,Suez,4\,0
20I5F,20I5F3AB,3AB,Suez,\,3
20I5F,20I5FH3B,H3B,Suez,4\,0
23I2F,23I2FH3B,H3B,Suez,4\,0
23I2F,23I2FH3C,H3C,Suez,\,0
25I5F,25I5F3A1,3A1,Suez,4\,0
26I6F,26I6FA3A,A3A,Suez,3\,1
27I6F,27I6F3G2,3G2,Suez,3\,1
29I3F,29I3FH3D,H3D,Suez,\,0
2I3O,2I3O2VB,2VB,Suez,2\,2
2I4O,2I4OH3A,H3A,Suez,4\,0
2I5O,2I5O3TT1,3TT1,Suez,4\,0
2I6F,2I6F3A1,3A1,Suez,4\,0
2I6F,2I6FH3B,H3B,Suez,3\,1
4I3O,4I3O3VA,3VA,Suez,2\,2
5I1F,5I1FH3A,H3A,Suez,3\,1
5I1O,5I1OH3B,H3B,Suez,3\,1
5I1O,5I1OH3C,H3C,Suez,\,0
5I2F,5I2F3TT1,3TT1,Suez,4\,0
5I3O,5I3OG3,G3,Suez,\,1
5I5F,5I5F3A3,3A3,Suez,2\,2
5I6F,5I6F2VB,2VB,Suez,4\,0
5I6F,5I6FH3D,H3D,Suez,\,0
5I6O,5I6OH3E,H3E,Suez,\,0
7I5F,7I5F3VA,3VA,Suez,3\,1
8I1F,8I1FA3,A3,Suez,\,2
8I1F,8I1FH3B,H3B,Suez,3\,1
8I2F,8I2FV3D,V3D,Suez,\,0
8I3F,8I3F2VB,2VB,Suez,3\,1
8I5F,8I5F3A1,3A1,Suez,4\,0
8I5F,8I5F3TT1,3TT1,Suez,3\,1
9I3F,9I3F3A3,3A3,Suez,3\,1
